Employee Group Name|Cost Center Pattern|Organizational Set|Labor Category Profile
FG-RT-10050801||FG-RT-10050801|
FG-RT-10083533||FG-RT-10083533|
FG-RT-10089843||FG-RT-10089843|
FG-RT-10097245||FG-RT-10097245|
FG-RT-10103981||FG-RT-10103981|
FG-RT-10112873||FG-RT-10112873|
FG-RT-10126141||FG-RT-10126141|
FG-RT-10128125||FG-RT-10128125|
FG-RT-10220317||FG-RT-10220317|
FG-RT-10225379||FG-RT-10225379|
FG-RT-10226684||FG-RT-10226684|
FG-RT-10235116||FG-RT-10235116|
FG-RT-10302685||FG-RT-10302685|
FG-RT-10324102||FG-RT-10324102|
FG-RT-10333406||FG-RT-10333406|
FG-RT-10357370||FG-RT-10357370|
FG-RT-10358348||FG-RT-10358348|
FG-RT-10358405||FG-RT-10358405|
FG-RT-10358496||FG-RT-10358496|
FG-RT-10359250||FG-RT-10359250|
FG-RT-10359280||FG-RT-10359280|
FG-RT-10360156||FG-RT-10360156|
FG-RT-10360991||FG-RT-10360991|
FG-RT-10361940||FG-RT-10361940|
FG-RT-10362097||FG-RT-10362097|
FG-RT-10363029||FG-RT-10363029|
FG-RT-10363681||FG-RT-10363681|
FG-RT-10363762||FG-RT-10363762|
FG-RT-10363867||FG-RT-10363867|
FG-RT-10364282||FG-RT-10364282|
FG-RT-10365059||FG-RT-10365059|
FG-RT-10365298||FG-RT-10365298|
FG-RT-10365477||FG-RT-10365477|
FG-RT-10365946||FG-RT-10365946|
FG-RT-10365966||FG-RT-10365966|
FG-RT-10366272||FG-RT-10366272|
FG-RT-10366426||FG-RT-10366426|
FG-RT-10366652||FG-RT-10366652|
FG-RT-10367546||FG-RT-10367546|
FG-RT-10367787||FG-RT-10367787|
FG-RT-10368051||FG-RT-10368051|
FG-RT-10369940||FG-RT-10369940|
FG-RT-10370067||FG-RT-10370067|
FG-RT-10370235||FG-RT-10370235|
FG-RT-10370550||FG-RT-10370550|
FG-RT-10370756||FG-RT-10370756|
FG-RT-10371200||FG-RT-10371200|
FG-RT-10371594||FG-RT-10371594|
FG-RT-10371788||FG-RT-10371788|
FG-RT-10372277||FG-RT-10372277|
FG-RT-10372382||FG-RT-10372382|
FG-RT-10372559||FG-RT-10372559|
FG-RT-10372868||FG-RT-10372868|
FG-RT-10373301||FG-RT-10373301|
FG-RT-10373751||FG-RT-10373751|
FG-RT-10374562||FG-RT-10374562|
FG-RT-10374830||FG-RT-10374830|
FG-RT-10374864||FG-RT-10374864|
FG-RT-10375114||FG-RT-10375114|
FG-RT-10375422||FG-RT-10375422|
FG-RT-10375528||FG-RT-10375528|
FG-RT-10377789||FG-RT-10377789|
FG-RT-10390497||FG-RT-10390497|
FG-RT-10394352||FG-RT-10394352|
FG-RT-10400147||FG-RT-10400147|
FG-RT-10400182||FG-RT-10400182|
FG-RT-10400187||FG-RT-10400187|
FG-RT-10400280||FG-RT-10400280|
FG-RT-10400329||FG-RT-10400329|
FG-RT-10400340||FG-RT-10400340|
FG-RT-10400410||FG-RT-10400410|
FG-RT-10400444||FG-RT-10400444|
FG-RT-10400479||FG-RT-10400479|
FG-RT-10400521||FG-RT-10400521|
FG-RT-10400552||FG-RT-10400552|
FG-RT-10400593||FG-RT-10400593|
FG-RT-10400655||FG-RT-10400655|
FG-RT-10400656||FG-RT-10400656|
FG-RT-10400674||FG-RT-10400674|
FG-RT-10400696||FG-RT-10400696|
FG-RT-10400770||FG-RT-10400770|
FG-RT-10400851||FG-RT-10400851|
FG-RT-10400861||FG-RT-10400861|
FG-RT-10400866||FG-RT-10400866|
FG-RT-10400899||FG-RT-10400899|
FG-RT-10400913||FG-RT-10400913|
FG-RT-10400922||FG-RT-10400922|
FG-RT-10400936||FG-RT-10400936|
FG-RT-10400975||FG-RT-10400975|
FG-RT-10400994||FG-RT-10400994|
FG-RT-10401016||FG-RT-10401016|
FG-RT-10401038||FG-RT-10401038|
FG-RT-10401137||FG-RT-10401137|
FG-RT-10401174||FG-RT-10401174|
FG-RT-10401191||FG-RT-10401191|
FG-RT-10401254||FG-RT-10401254|
FG-RT-10401336||FG-RT-10401336|
FG-RT-10401365||FG-RT-10401365|
FG-RT-10401450||FG-RT-10401450|
FG-RT-10401466||FG-RT-10401466|
FG-RT-10401516||FG-RT-10401516|
FG-RT-10401762||FG-RT-10401762|
FG-RT-10401779||FG-RT-10401779|
FG-RT-10401782||FG-RT-10401782|
FG-RT-10401796||FG-RT-10401796|
FG-RT-10401805||FG-RT-10401805|
FG-RT-10401834||FG-RT-10401834|
FG-RT-10401836||FG-RT-10401836|
FG-RT-10401904||FG-RT-10401904|
FG-RT-10402030||FG-RT-10402030|
FG-RT-10402041||FG-RT-10402041|
FG-RT-10402050||FG-RT-10402050|
FG-RT-10402052||FG-RT-10402052|
FG-RT-10402063||FG-RT-10402063|
FG-RT-10402108||FG-RT-10402108|
FG-RT-10402118||FG-RT-10402118|
FG-RT-10402229||FG-RT-10402229|
FG-RT-10402259||FG-RT-10402259|
FG-RT-10402264||FG-RT-10402264|
