POSITION_NBR EMPLID      HR_STATUS POSN_STATUS POSITION_EFFDT  
------------ ----------- --------- ----------- ----------------
1005618      10429989    I         A                 2025-02-15
40642650     10604184    I         A                 2025-04-10
40642651     10360922    A         A                 2025-02-14
40642654     10360917    A         A                 2025-02-14
40642655     10360918    I         R                 2024-10-30
40642656     10360925    A         A                 2025-02-14
40642657     10361796    A         A                 2025-07-03
40642660     10280919    A         A                 2025-02-14
40642660     10357918    I         A                 2025-02-14
40642661     10360935    A         A                 2025-02-14

(10 rows affected)
