Location Type|Parent Path|Location Name|Full Name|Description|Effective Date|Expiration Date|Address|Cost Center|Direct Work Percent|Indirect Work Percent|Timezone|Transferable|External ID
Financial Unit|UCSDH/Medical Center/EVS|4200355|4200355|LJ Linen Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/EVS|4200362|4200362|LJ Environmental Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/EVS|4200484|4200484|EC Housekeeping|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/EVS|4200835|4200835|HC Environmental Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/EVS|4200877|4200877|HC Linen Service|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Experience|4200493|4200493|EC Auxiliary Groups|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Experience|4200916|4200916|Patient Experience|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Experience|4200959|4200959|Volunteer Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Experience|4200966|4200966|MC Guest Relations|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200363|4200363|LJ Plant Operations|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200368|4200368|LJ Building Maintenance|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200485|4200485|EC Plant Operations|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200849|4200849|Facilities Capital Management|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200852|4200852|Facilities Engineering|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200857|4200857|HC Building Operations|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200859|4200859|HC Plant Operations|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200861|4200861|Facilities Planning Mgm|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Facilities|4200867|4200867|Construction Project Managemen|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Family Houses|4200256|4200256|La Jolla Family House|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Family Houses|4200961|4200961|Bannister Family House|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200834|4200834|ESR and UCPath Implementation|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200900|4200900|Finance Office|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200901|4200901|Health Timekeeping Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200904|4200904|Decision Support|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200905|4200905|Financial Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200933|4200933|Budget Fin Forecasting|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Finance|4200958|4200958|Govt Reimbursement|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200351|4200351|LJ PNS Patient Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200352|4200352|LJ FNS Retail Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200353|4200353|FNS Clinical Nutrition|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200495|4200495|EC Dietary|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200800|4200800|FNS Management|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200803|4200803|HC FNS Patient Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200804|4200804|HC FNS Retail Services|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/FNS|4200948|4200948|Gift Shop|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/General Hospital|4200931|4200931|HC MOB Transition|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/General Hospital|4200995|4200995|COVID-19|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Health Campus Development|4200999|4200999|Health Campus Development|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200364|4200364|LJ Clinical Technology|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200490|4200490|EC Clinical Technology|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200760|4200760|Informatics|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200826|4200826|IS Process Components|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200830|4200830|IS Revenue Cycle|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200831|4200831|HC Clinical Technology|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200841|4200841|IS Audiovisual|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200848|4200848|IS User Training|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200850|4200850|IS Administration|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200851|4200851|IS ERP Systems|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200854|4200854|IS Security|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200855|4200855|IS Access Control|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200856|4200856|IS Enterprise Analytics|1900-01-01|3000-01-01|||||||
Financial Unit|UCSDH/Medical Center/Information Services|4200864|4200864|IS PMO|1900-01-01|3000-01-01|||||||
