Labor Category Entry Name|Description|InactiveFlag|Labor Category Name
40645437_0|P-004198-PATIENT NAVIGATOR 3-SDMED|0|Position_Record_Number
40662516_0|P-004198-PATIENT NAVIGATOR 3-SDMED|0|Position_Record_Number
40686262_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686289_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686304_0|P-006646-RESP CARE SPEC 4-SDMED|0|Position_Record_Number
40686307_0|P-004723-Communications Specialist-SDMED|0|Position_Record_Number
40686311_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686314_0|P-008994-MED AST 2-SDCMP|0|Position_Record_Number
40686408_0|P-008939-CLIN LAB SCI SPEC-SDMED|0|Position_Record_Number
40686415_0|P-009045-INTERVENTIONAL RADLG TCHNO LD-SDMED|0|Position_Record_Number
40686422_0|P-007359-BUS TCHL SUPP ANL 2 TX-SDMED|0|Position_Record_Number
40686424_0|P-009293-PHLEBOTOMIST CERT TCHN 2-SDMED|0|Position_Record_Number
40686440_0|P-004462-BEH HEALTH PSYCHTRC PROFL 2 HX-SDMED|0|Position_Record_Number
40686451_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686466_0|P-007338-IT SECURITY ANL 3-SDMED|0|Position_Record_Number
40686472_0|P-006218-CLIN REGIS ANL 2-SDMED|0|Position_Record_Number
40686502_0|P-004662-PATIENT BILLER 4-SDMED|0|Position_Record_Number
40686534_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686557_0|P-009247-STAFF PHARMACIST 2-SDMED|0|Position_Record_Number
40686561_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40686575_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686593_0|P-004381-Patient Services Manager-SDMED|0|Position_Record_Number
40686600_0|P-004722-Clinical Admin Assistant-SDMED|0|Position_Record_Number
40686616_0|P-009251-Call Center Specialist-SDCMP|0|Position_Record_Number
40686628_0|P-009138-CLIN NURSE 3-SDMED|0|Position_Record_Number
40686658_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686688_0|P-009281-PHARMACY TCHN 3-SDMED|0|Position_Record_Number
40686748_0|P-008921-NURSE AID SR PD-SDMED|0|Position_Record_Number
40686758_0|P-000520-SYS ADM 4-SDMED|0|Position_Record_Number
40686764_0|P-009012-RAD THER TCHNO SR-SDMED|0|Position_Record_Number
40686767_0|P-009066-HISTO TCHNO 2-SDCMP|0|Position_Record_Number
40686829_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686841_0|P-009281-PHARMACY TCHN 3-SDMED|0|Position_Record_Number
40686848_0|P-007398-PROJECT POLICY ANL 3-SDMED|0|Position_Record_Number
40686874_1|P-004543-PAT BILL AND COLL REPR 3-SDMED|0|Position_Record_Number
40686885_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686898_1|P-006496-INFECTION CNTRL MGR 1-SDMED|0|Position_Record_Number
40686906_0|P-004493-PAT REL PROFL 3 CX-SDMED|0|Position_Record_Number
40686925_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40686997_0|P-009268-PAT CARE DIALYSIS TCHN PD-SDMED|0|Position_Record_Number
40686999_0|P-009281-PHARMACY TCHN 3-SDMED|0|Position_Record_Number
40687015_0|P-004171-Practice Manager-SDCMP|0|Position_Record_Number
40687048_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687050_0|P-009313-CLIN SOCIAL WORKER 3-SDCMP|0|Position_Record_Number
40687078_0|P-008916-VOC NURSE SR-SDMED|0|Position_Record_Number
40687084_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687098_0|P-008994-MED AST 2-SDCMP|0|Position_Record_Number
40687123_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40687125_0|P-009000-Administrative Lead-SDCMP|0|Position_Record_Number
40687144_0|P-009000-HOSP BLANK AST 4-SDCMP|0|Position_Record_Number
40687208_0|P-008994-MED AST 2-SDMED|0|Position_Record_Number
40687211_0|P-004718-PATIENT RCDS ABSTRACTOR 2-SDCMP|0|Position_Record_Number
40687220_0|P-007359-BUS TCHL SUPP ANL 2 TX-SDMED|0|Position_Record_Number
40687263_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687266_0|P-006608-RESP CARE SUPV 2-SDMED|0|Position_Record_Number
40687282_0|P-004477-AMBUL CARE ADMSTN CRD 2 CX-SDCMP|0|Position_Record_Number
40687307_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687310_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687352_0|P-007588-Revenue Cycle Epic Trainer-SDMED|0|Position_Record_Number
40687353_0|P-009298-TELEMETRY TCHN-SDMED|0|Position_Record_Number
40687360_0|P-008975-HOSP LAB TCHN 2-SDMED|0|Position_Record_Number
40687368_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687375_0|P-004663-PAT BILLER 3-SDMED|0|Position_Record_Number
40687376_0|P-009000-HOSP BLANK AST 4-SDCMP|0|Position_Record_Number
40687394_0|P-009252-Room Service Attendant-SDMED|0|Position_Record_Number
40687406_0|P-009000-Surgery Scheduling Lead-SDMED|0|Position_Record_Number
40687416_0|P-005746-DECISION SUPP SPEC 5-SDMED|0|Position_Record_Number
40687455_0|P-005087-MED CTR CUSTODIAN-SDMED|0|Position_Record_Number
40687456_0|P-005087-MED CTR CUSTODIAN-SDMED|0|Position_Record_Number
40687476_0|P-009157-BIOMED EQUIP TCHN 1-SDMED|0|Position_Record_Number
40687520_0|P-009138-CLIN NURSE 3-SDCMP|0|Position_Record_Number
40687527_0|P-006039-CLIN APPLICATIONS PROFL 4-SDMED|0|Position_Record_Number
40687530_0|P-006569-CLIN LAB SUPV 2-SDMED|0|Position_Record_Number
40687547_0|P-005445-FOOD SVC MGR AST-SDMED|0|Position_Record_Number
40687575_0|P-005087-MED CTR CUSTODIAN-SDMED|0|Position_Record_Number
40687586_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687593_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687594_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40687599_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687614_0|P-009251-Burn Technician-SDMED|0|Position_Record_Number
40687620_1|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687622_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687712_0|P-008916-VOC NURSE SR-SDMED|0|Position_Record_Number
40687731_0|P-009067-HISTO TCHNO 3-SDMED|0|Position_Record_Number
40687793_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687810_0|P-009138-CLIN NURSE 3-SDMED|0|Position_Record_Number
40687884_0|P-008994-MED AST 2-SDCMP|0|Position_Record_Number
40687892_0|P-008916-VOC NURSE SR-SDCMP|0|Position_Record_Number
40687990_0|P-007380-CONTRACT ADM 3-SDMED|0|Position_Record_Number
40688033_0|P-004204-QLTY IMPV HC SPEC 3-SDMED|0|Position_Record_Number
40688039_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40688040_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40688062_0|P-009252-Mental Health Worker-SDMED|0|Position_Record_Number
40688063_0|P-009049-REG RESP THER 1-SDMED|0|Position_Record_Number
40688084_0|P-009251-Intake Coordinator-SDMED|0|Position_Record_Number
40688124_0|P-004800-ADMIN OFCR 3 CX-SDMED|0|Position_Record_Number
40688156_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687002_0|P-005642-FAC PROJECT MGT SPEC 4 HC-SDMED|0|Position_Record_Number
40687029_0|P-008938-CLIN LAB SCI SPEC SR-SDMED|0|Position_Record_Number
40687112_0|P-009251-Equipment Tech-SDMED|0|Position_Record_Number
40687223_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687224_0|P-009251-Sr Security Agent-SDMED|0|Position_Record_Number
40687252_0|P-000474-Sr Dir EH&S-SDMED|0|Position_Record_Number
40687261_0|P-005786-PHYSCN NETWORK DEV SPEC 4-SDCMP|0|Position_Record_Number
40687271_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687293_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687313_0|P-008930-SURGICAL TCHN SR-SDMED|0|Position_Record_Number
40687333_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687387_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40687427_0|P-009247-STF PHARMACIST 2-SDMED|0|Position_Record_Number
40687429_0|P-009247-STAFF PHARMACIST 2-SDMED|0|Position_Record_Number
40687444_0|P-009000-Infusion Scheduling Lead-SDMED|0|Position_Record_Number
40687445_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40687454_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687466_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687484_0|P-007870-CASE MGR EX-SDMED|0|Position_Record_Number
40687523_1|P-006148-INSTRUCTIONAL DESIGNER 3-SDMED|0|Position_Record_Number
40687541_0|P-007944-PHYS THER 2 NEX-SDMED|0|Position_Record_Number
40687556_0|P-004543-PAT BILL AND COLL REPR 3-SDMED|0|Position_Record_Number
40687591_0|P-009049-REG RESP THER 1-SDMED|0|Position_Record_Number
40687628_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687653_0|P-009007-DOSIMETRIST SR-SDMED|0|Position_Record_Number
40687659_0|P-007359-BUS TCHL SUPP ANL 2 TX-SDMED|0|Position_Record_Number
40687679_0|P-009434-MED AST 3-SDCMP|0|Position_Record_Number
40687727_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40687752_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687784_0|P-009054-RESP CARE PRACT TCHN-SDMED|0|Position_Record_Number
40687867_0|P-004663-PATIENT BILLER 3-SDMED|0|Position_Record_Number
40687869_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687891_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687910_0|P-007944-PHYS THER 2 NEX-SDMED|0|Position_Record_Number
40687944_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40687963_0|P-004663-PATIENT BILLER 3-SDMED|0|Position_Record_Number
40687996_0|P-009411-CTRL SVC TCHN 2-SDMED|0|Position_Record_Number
40688005_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40688006_0|P-009119-NURSE PD-SDMED|0|Position_Record_Number
40688065_0|P-008922-NURSE AID SR-SDMED|0|Position_Record_Number
40688078_0|P-000626-Sr Dir HS HR Strat TA Bene-SDMED|0|Position_Record_Number
40688081_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40688206_0|P-009251-Surgery Coordinator-SDMED|0|Position_Record_Number
40688208_0|P-008975-HOSP LAB TCHN 2-SDMED|0|Position_Record_Number
40688219_0|P-009139-CLIN NURSE 2-SDMED|0|Position_Record_Number
40688293_0|P-009000-Lead Security Agent-SDMED|0|Position_Record_Number
40688294_0|P-009253-Call Center Associate-SDMED|0|Position_Record_Number
40688295_0|P-009139-CLIN NURSE 2-SDCMP|0|Position_Record_Number
40688318_0|P-005087-MED CTR CUSTODIAN-SDMED|0|Position_Record_Number
40688348_0|P-009251-Call Center Specialist-SDCMP|0|Position_Record_Number
