Organizational Set Name|Organizational Set Description|Org Set Type|Job in Org Set
FG-RT-10050801|Fund Group Org Set Reports to 10050801|All|UCSDH/Health Science/Human Resources/3000219/0020
FG-RT-10083533|Fund Group Org Set Reports to 10083533|All|UCSDH/Medical Center/Perioperative/4200325/325
FG-RT-10089843|Fund Group Org Set Reports to 10089843|All|UCSDH/Medical Center/Perioperative/4200323/323
FG-RT-10097245|Fund Group Org Set Reports to 10097245|All|UCSDH/Medical Center/Lab/4200731/731
FG-RT-10103981|Fund Group Org Set Reports to 10103981|All|UCSDH/Health Science/Information Services/3000195/6108
FG-RT-10103981|Fund Group Org Set Reports to 10103981|All|UCSDH/Medical Center/General Hospital/4200931/931
FG-RT-10103981|Fund Group Org Set Reports to 10103981|All|UCSDH/Medical Center/Information Services/4200864/864
FG-RT-10112873|Fund Group Org Set Reports to 10112873|All|UCSDH/Medical Center/Perioperative/4200150/150
FG-RT-10126141|Fund Group Org Set Reports to 10126141|All|UCSDH/Health Physician Group/Faculty Practice/4310025/2032
FG-RT-10126141|Fund Group Org Set Reports to 10126141|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10126141|Fund Group Org Set Reports to 10126141|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200310/310
FG-RT-10126141|Fund Group Org Set Reports to 10126141|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200316/316
FG-RT-10126141|Fund Group Org Set Reports to 10126141|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200656/656
FG-RT-10128125|Fund Group Org Set Reports to 10128125|All|UCSDH/Medical Center/Lab/4200181/181
FG-RT-10220317|Fund Group Org Set Reports to 10220317|All|UCSDH/Health Science/Information Services/3000045/C35
FG-RT-10220317|Fund Group Org Set Reports to 10220317|All|UCSDH/Health Science/Information Services/3000045/C40
FG-RT-10225379|Fund Group Org Set Reports to 10225379|All|UCSDH/Medical Center/Experience/4200916/916
FG-RT-10226684|Fund Group Org Set Reports to 10226684|All|UCSDH/Medical Center/Lab/4200450/450
FG-RT-10226684|Fund Group Org Set Reports to 10226684|All|UCSDH/Medical Center/Lab/4200451/451
FG-RT-10235116|Fund Group Org Set Reports to 10235116|All|UCSDH/Medical Center/Oncology/4200187/187
FG-RT-10302685|Fund Group Org Set Reports to 10302685|All|UCSDH/Medical Center/General Hospital/4200931/931
FG-RT-10302685|Fund Group Org Set Reports to 10302685|All|UCSDH/Medical Center/Information Services/4200914/914
FG-RT-10324102|Fund Group Org Set Reports to 10324102|All|UCSDH/Medical Center/Experience/4200966/966
FG-RT-10333406|Fund Group Org Set Reports to 10333406|All|UCSDH/Health Science/Information Services/3000102/C41
FG-RT-10333406|Fund Group Org Set Reports to 10333406|All|UCSDH/Health Science/Information Services/3000195/6110
FG-RT-10333406|Fund Group Org Set Reports to 10333406|All|UCSDH/Medical Center/Information Services/4200854/854
FG-RT-10357370|Fund Group Org Set Reports to 10357370|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10357370|Fund Group Org Set Reports to 10357370|All|UCSDH/Medical Center/Transplant/4200743/743
FG-RT-10357370|Fund Group Org Set Reports to 10357370|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10357370|Fund Group Org Set Reports to 10357370|All|UCSDH/Medical Center/Transplant/4200749/749
FG-RT-10357370|Fund Group Org Set Reports to 10357370|All|UCSDH/Medical Center/Transplant/4200755/755
FG-RT-10358348|Fund Group Org Set Reports to 10358348|All|UCSDH/Health Physician Group/Faculty Practice/4310085/2804
FG-RT-10358405|Fund Group Org Set Reports to 10358405|All|UCSDH/Health Physician Group/CBCD/4310065/2521
FG-RT-10358496|Fund Group Org Set Reports to 10358496|All|UCSDH/Health Physician Group/Faculty Practice/4310075/2591
FG-RT-10359250|Fund Group Org Set Reports to 10359250|All|UCSDH/Health Physician Group/Faculty Practice/4310133/2674
FG-RT-10359250|Fund Group Org Set Reports to 10359250|All|UCSDH/Health Physician Group/Faculty Practice/4310133/2868
FG-RT-10359280|Fund Group Org Set Reports to 10359280|All|UCSDH/Medical Center/Health Campus Development/4200999/999
FG-RT-10360156|Fund Group Org Set Reports to 10360156|All|UCSDH/Health Physician Group/Faculty Practice/4310025/2032
FG-RT-10360991|Fund Group Org Set Reports to 10360991|All|UCSDH/Medical Center/Finance/4200834/834
FG-RT-10361940|Fund Group Org Set Reports to 10361940|All|UCSDH/Health Physician Group/Faculty Practice/4310184/2852
FG-RT-10362097|Fund Group Org Set Reports to 10362097|All|UCSDH/Medical Center/Pharmacy/4200210/210
FG-RT-10362097|Fund Group Org Set Reports to 10362097|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10363029|Fund Group Org Set Reports to 10363029|All|UCSDH/Health Physician Group/Faculty Practice/4310011/2670
FG-RT-10363681|Fund Group Org Set Reports to 10363681|All|UCSDH/Medical Center/Finance/4200834/834
FG-RT-10363681|Fund Group Org Set Reports to 10363681|All|UCSDH/Medical Center/Finance/4200901/901
FG-RT-10363762|Fund Group Org Set Reports to 10363762|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10363867|Fund Group Org Set Reports to 10363867|All|UCSDH/Health Physician Group/Faculty Practice/4310017/2421
FG-RT-10363867|Fund Group Org Set Reports to 10363867|All|UCSDH/Health Physician Group/Strategy/4310017/2765
FG-RT-10364282|Fund Group Org Set Reports to 10364282|All|UCSDH/Health Physician Group/Faculty Practice/4310075/2462
FG-RT-10365059|Fund Group Org Set Reports to 10365059|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10365298|Fund Group Org Set Reports to 10365298|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10365477|Fund Group Org Set Reports to 10365477|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10365946|Fund Group Org Set Reports to 10365946|All|UCSDH/Health Physician Group/CBCD/4310065/2521
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Community Care/4310030/2743
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Community Care/4310030/2769
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Community Care/4310030/2801
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Community Care/4310030/2812
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Community Care/4310030/2882
FG-RT-10365966|Fund Group Org Set Reports to 10365966|All|UCSDH/Health Physician Group/Faculty Practice/4310030/2596
FG-RT-10366272|Fund Group Org Set Reports to 10366272|All|UCSDH/Medical Center/Marketing/4200884/884
FG-RT-10366426|Fund Group Org Set Reports to 10366426|All|UCSDH/Medical Center/CMO - Clinical Administration/4200821/821
FG-RT-10366426|Fund Group Org Set Reports to 10366426|All|UCSDH/Medical Center/CMO - Clinical Administration/4200985/985
FG-RT-10366652|Fund Group Org Set Reports to 10366652|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10367546|Fund Group Org Set Reports to 10367546|All|UCSDH/Health Physician Group/Faculty Practice/4310134/2424
FG-RT-10367787|Fund Group Org Set Reports to 10367787|All|UCSDH/Health Physician Group/Faculty Practice/4310136/2436
FG-RT-10368051|Fund Group Org Set Reports to 10368051|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10369940|Fund Group Org Set Reports to 10369940|All|UCSDH/Medical Center/CVC - Operations Support/4200949/949
FG-RT-10370067|Fund Group Org Set Reports to 10370067|All|UCSDH/Health Science/Human Resources/3000219/0014
FG-RT-10370235|Fund Group Org Set Reports to 10370235|All|UCSDH/Medical Center/MJ - Sanford Center/4200312/312
FG-RT-10370550|Fund Group Org Set Reports to 10370550|All|UCSDH/Health Physician Group/Faculty Practice/4310061/2595
FG-RT-10370756|Fund Group Org Set Reports to 10370756|All|UCSDH/Medical Center/Directors Office/4200335/335
FG-RT-10371200|Fund Group Org Set Reports to 10371200|All|UCSDH/Health Science/Health Science Miscellaneous/3000059/C44
FG-RT-10371594|Fund Group Org Set Reports to 10371594|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200681/681
FG-RT-10371788|Fund Group Org Set Reports to 10371788|All|UCSDH/Health Physician Group/Faculty Practice/4310028/2736
FG-RT-10371788|Fund Group Org Set Reports to 10371788|All|UCSDH/Medical Center/Care Management/4200919/919
FG-RT-10371788|Fund Group Org Set Reports to 10371788|All|UCSDH/Medical Center/CMO - Clinical Administration/4200985/985
FG-RT-10371788|Fund Group Org Set Reports to 10371788|All|UCSDH/Medical Center/CV - Clinical Administration/4200915/915
FG-RT-10371788|Fund Group Org Set Reports to 10371788|All|UCSDH/Medical Center/Information Services/4200850/850
FG-RT-10372277|Fund Group Org Set Reports to 10372277|All|UCSDH/Health Physician Group/Faculty Practice/4310129/2422
FG-RT-10372382|Fund Group Org Set Reports to 10372382|All|UCSDH/Health Physician Group/Faculty Practice/4310002/2113
FG-RT-10372559|Fund Group Org Set Reports to 10372559|All|UCSDH/Medical Center/Directors Office/4200910/910
FG-RT-10372868|Fund Group Org Set Reports to 10372868|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10373301|Fund Group Org Set Reports to 10373301|All|UCSDH/Health Physician Group/Community Care/4310033/2515
FG-RT-10373751|Fund Group Org Set Reports to 10373751|All|UCSDH/Health Science/Human Resources/3000219/009
FG-RT-10374562|Fund Group Org Set Reports to 10374562|All|UCSDH/Health Physician Group/Faculty Practice/4310014/2593
FG-RT-10374562|Fund Group Org Set Reports to 10374562|All|UCSDH/Medical Center/Perioperative/4200702/702
FG-RT-10374830|Fund Group Org Set Reports to 10374830|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10374830|Fund Group Org Set Reports to 10374830|All|UCSDH/Medical Center/Pharmacy/4200766/766
FG-RT-10374830|Fund Group Org Set Reports to 10374830|All|UCSDH/Medical Center/Pharmacy/4200836/836
FG-RT-10374864|Fund Group Org Set Reports to 10374864|All|UCSDH/Health Physician Group/Faculty Practice/4310075/2591
FG-RT-10375114|Fund Group Org Set Reports to 10375114|All|UCSDH/Medical Center/Risk Management/4200950/950
FG-RT-10375422|Fund Group Org Set Reports to 10375422|All|UCSDH/Health Science/Health Science Miscellaneous/3000059/C43
FG-RT-10375528|Fund Group Org Set Reports to 10375528|All|UCSDH/Health Physician Group/Faculty Practice/4310006/2675
FG-RT-10375528|Fund Group Org Set Reports to 10375528|All|UCSDH/Health Physician Group/Faculty Practice/4310022/2480
FG-RT-10375528|Fund Group Org Set Reports to 10375528|All|UCSDH/Health Physician Group/Faculty Practice/4310059/2447
FG-RT-10375528|Fund Group Org Set Reports to 10375528|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10375528|Fund Group Org Set Reports to 10375528|All|UCSDH/Health Physician Group/Strategy/4310127/2667
FG-RT-10377789|Fund Group Org Set Reports to 10377789|All|UCSDH/Health Physician Group/Faculty Practice/4310085/2760
